img1,img2,total_votes,entropy,draw_rate
img_00001_patch_4.png,img_00555_patch_4.png,1,0.0,0.0
img_00001_patch_4.png,img_00593_patch_7.png,1,0.0,0.0
img_00001_patch_5.png,img_00060_patch_7.png,1,0.0,0.0
img_00001_patch_5.png,img_00086_patch_0.png,1,0.0,0.0
img_00001_patch_5.png,img_00171_patch_0.png,1,0.0,0.0
img_00001_patch_5.png,img_00273_patch_1.png,1,0.0,0.0
img_00001_patch_5.png,img_00290_patch_3.png,1,0.0,0.0
img_00001_patch_5.png,img_00330_patch_5.png,2,0.0,0.0
img_00001_patch_5.png,img_00333_patch_4.png,1,0.0,0.0
img_00001_patch_5.png,img_00378_patch_0.png,1,0.0,0.0
img_00001_patch_5.png,img_00398_patch_4.png,1,0.0,0.0
img_00001_patch_5.png,img_00490_patch_2.png,1,0.0,0.0
img_00001_patch_5.png,img_00511_patch_1.png,10,0.0,0.0
img_00001_patch_5.png,img_00741_patch_6.png,2,0.0,0.0
img_00001_patch_5.png,img_00755_patch_0.png,11,0.30463609734923813,0.0
img_00001_patch_6.png,img_00040_patch_6.png,1,0.0,0.0
img_00001_patch_6.png,img_00046_patch_6.png,1,0.0,0.0
img_00001_patch_6.png,img_00174_patch_6.png,1,0.0,0.0
img_00001_patch_6.png,img_00187_patch_8.png,1,0.0,0.0
img_00001_patch_6.png,img_00340_patch_8.png,1,0.0,0.0
img_00001_patch_6.png,img_00451_patch_1.png,1,0.0,0.0
img_00001_patch_6.png,img_00461_patch_7.png,1,0.0,0.0
img_00001_patch_6.png,img_00472_patch_4.png,1,0.0,0.0
img_00001_patch_6.png,img_00527_patch_0.png,1,0.0,0.0
img_00001_patch_6.png,img_00645_patch_6.png,1,0.0,0.0
img_00001_patch_6.png,img_00664_patch_8.png,1,0.0,0.0
img_00001_patch_6.png,img_00712_patch_2.png,10,0.0,0.0
img_00001_patch_6.png,img_00718_patch_0.png,1,0.0,0.0
img_00001_patch_6.png,img_00729_patch_4.png,1,0.0,0.0
img_00001_patch_7.png,img_00117_patch_8.png,1,0.0,0.0
img_00001_patch_7.png,img_00162_patch_1.png,2,0.0,0.0
img_00001_patch_7.png,img_00230_patch_4.png,1,0.0,0.0
img_00001_patch_7.png,img_00345_patch_0.png,1,0.0,0.0
img_00001_patch_7.png,img_00387_patch_1.png,1,0.0,0.0
img_00001_patch_7.png,img_00451_patch_4.png,1,0.0,0.0
img_00001_patch_7.png,img_00650_patch_8.png,1,0.0,0.0
img_00001_patch_7.png,img_00662_patch_3.png,1,0.0,0.0
img_00001_patch_8.png,img_00189_patch_1.png,1,0.0,0.0
img_00001_patch_8.png,img_00195_patch_7.png,1,0.0,0.0
img_00001_patch_8.png,img_00483_patch_6.png,1,0.0,0.0
img_00001_patch_8.png,img_00509_patch_2.png,1,0.0,0.0
img_00001_patch_8.png,img_00531_patch_4.png,1,0.0,0.0
img_00001_patch_8.png,img_00551_patch_3.png,1,0.0,0.0
img_00001_patch_8.png,img_00581_patch_6.png,1,0.0,0.0
img_00001_patch_8.png,img_00599_patch_6.png,1,0.0,0.0
img_00001_patch_8.png,img_00694_patch_4.png,1,0.0,0.0
img_00001_patch_8.png,img_00711_patch_1.png,2,0.0,0.0
img_00001_patch_8.png,img_00721_patch_5.png,1,0.0,0.0
